     h  k  l        d       absF         lp twotheta
107 -2  7 -1 1.255245  76.727431   3.562094 75.78127
108 -1  7 -1 1.266688  19.190964   3.631043 74.97786
109  0  7 -1 1.216268  39.796656   3.342379 78.66770
110 -1 -6  0 1.337964  12.630302   4.101491 70.36555
111  0 -6  0 1.484413 158.324988   5.258906 62.57615
112  1 -6  0 1.555677  10.050123   5.902268 59.41212
113  2 -6  0 1.513184  18.447524   5.512772 61.25660
114  3 -6  0 1.380887  17.561816   4.415909 67.87337
115  4 -6  0 1.216012  26.430442   3.341016 78.68748
116 -3 -4  0 1.254091  12.399807   3.555248 75.86336
117 -2 -4  0 1.530402  19.083424   5.668531 60.49480
118 -1 -4  0 1.882269  16.090435   9.420126 48.35537
119  0 -4  0 2.226619  41.551689  14.031598 40.51349
120  1 -4  0 2.323008  16.195846  15.477712 38.76358
121  2 -4  0 2.071331 198.781100  11.843138 43.70078
122  3 -4  0 1.702500  11.219359   7.373568 53.84882
123  4 -4  0 1.385296  22.837055   4.449433 67.62812
124 -4 -2  0 1.230316  30.602916   3.418777 77.59949
125 -3 -2  0 1.558228  14.137845   5.926190 59.30512
126 -2 -2  0 2.097884 203.309144  12.204859 43.11976
127 -1 -2  0 3.060804  13.973488  28.706447 29.17608
128  0 -2  0 4.453238  40.628676  63.820476 19.93782
129  1 -2  0 4.142661  17.444203  54.849532 21.44963
130  2 -2  0 2.770593  37.569479  23.052192 32.31155
131  3 -2  0 1.937330  15.670366  10.097841 46.89736
132  4 -2  0 1.463706 158.431513   5.081293 63.56391
133 -4  0  0 1.395806  21.707602   4.530228 67.05120
134 -3  0  0 1.861074  14.095267   9.165486 48.94194
135 -2  0  0 2.791611  43.545428  23.442208 32.06168
136 -1  0  0 5.583222  17.389409 101.955123 15.87322
137  0  0  0      Inf 308.117522        Inf  0.00000
138  1  0  0 5.583222  17.389409 101.955123 15.87322
139  2  0  0 2.791611  43.545428  23.442208 32.06168
140  3  0  0 1.861074  14.095267   9.165486 48.94194
141  4  0  0 1.395806  21.707602   4.530228 67.05120
142 -4  2  0 1.463706 158.431513   5.081293 63.56391
143 -3  2  0 1.937330  15.670366  10.097841 46.89736
144 -2  2  0 2.770593  37.569479  23.052192 32.31155
145 -1  2  0 4.142661  17.444203  54.849532 21.44963
146  0  2  0 4.453238  40.628676  63.820476 19.93782
147  1  2  0 3.060804  13.973488  28.706447 29.17608
148  2  2  0 2.097884 203.309144  12.204859 43.11976
149  3  2  0 1.558228  14.137845   5.926190 59.30512
150  4  2  0 1.230316  30.602916   3.418777 77.59949
151 -4  4  0 1.385296  22.837055   4.449433 67.62812
152 -3  4  0 1.702500  11.219359   7.373568 53.84882
153 -2  4  0 2.071331 198.781100  11.843138 43.70078
154 -1  4  0 2.323008  16.195846  15.477712 38.76358
155  0  4  0 2.226619  41.551689  14.031598 40.51349
156  1  4  0 1.882269  16.090435   9.420126 48.35537
157  2  4  0 1.530402  19.083424   5.668531 60.49480
158  3  4  0 1.254091  12.399807   3.555248 75.86336
159 -4  6  0 1.216012  26.430442   3.341016 78.68748
160 -3  6  0 1.380887  17.561816   4.415909 67.87337
161 -2  6  0 1.513184  18.447524   5.512772 61.25660
162 -1  6  0 1.555677  10.050123   5.902268 59.41212
163  0  6  0 1.484413 158.324988   5.258906 62.57615
164  1  6  0 1.337964  12.630302   4.101491 70.36555
165  0 -7  1 1.216268  39.796656   3.342379 78.66770
166  1 -7  1 1.266688  19.190964   3.631043 74.97786
167  2 -7  1 1.255245  76.727431   3.562094 75.78127
168 -2 -5  1 1.267004  76.038375   3.632976 74.95592
169 -1 -5  1 1.464726  47.575865   5.089938 63.51449
170  0 -5  1 1.636400   2.673396   6.687844 56.21215
171  1 -5  1 1.702682  37.859868   7.375515 53.84257
172  2 -5  1 1.620974  47.129461   6.533234 56.79536
173  3 -5  1 1.442787  27.443989   4.906304 64.59623
174  4 -5  1 1.245763  77.269892   3.506446 76.46162
175 -3 -3  1 1.325095  33.140947   4.011602 71.15199
176 -2 -3  1 1.637882  28.800735   6.702817 56.15675
177 -1 -3  1 2.040510  33.782769  11.429822 44.39569
178  0 -3  1 2.413043  98.018844  16.888333 37.26284
179  1 -3  1 2.443638  57.527349  17.380743 36.77947
180  2 -3  1 2.097254   5.080962  12.196207 43.13338
181  3 -3  1 1.686945  37.940297   7.208869 54.38606
182  4 -3  1 1.361330  39.617034   4.269930 68.98477
183 -4 -1  1 1.257255  76.545270   3.574064 75.63877
184 -3 -1  1 1.589186  42.588046   6.221263 58.03825
185 -2 -1  1 2.115517  26.868312  12.447928 42.74261
186 -1 -1  1 2.947735  52.571222  26.434599 30.32156
187  0 -1  1 3.755876  35.599087  44.589925 23.68899
188  1 -1  1 3.317690  52.382011  34.193232 26.87276
189  2 -1  1 2.390648  98.179401  16.532083 37.62496
190  3 -1  1 1.758850  39.601685   7.987072 51.99185
191  4 -1  1 1.366287   8.228886   4.306509 68.69934
192 -4  1  1 1.366287   8.228886   4.306509 68.69934
193 -3  1  1 1.758850  39.601685   7.987072 51.99185
194 -2  1  1 2.390648  98.179401  16.532083 37.62496
195 -1  1  1 3.317690  52.382011  34.193232 26.87276
196  0  1  1 3.755876  35.599087  44.589925 23.68899
197  1  1  1 2.947735  52.571222  26.434599 30.32156
198  2  1  1 2.115517  26.868312  12.447928 42.74261
199  3  1  1 1.589186  42.588046   6.221263 58.03825
200  4  1  1 1.257255  76.545270   3.574064 75.63877
201 -4  3  1 1.361330  39.617034   4.269930 68.98477
202 -3  3  1 1.686945  37.940297   7.208869 54.38606
203 -2  3  1 2.097254   5.080962  12.196207 43.13338
204 -1  3  1 2.443638  57.527349  17.380743 36.77947
205  0  3  1 2.413043  98.018844  16.888333 37.26284
206  1  3  1 2.040510  33.782769  11.429822 44.39569
207  2  3  1 1.637882  28.800735   6.702817 56.15675
208  3  3  1 1.325095  33.140947   4.011602 71.15199
209 -4  5  1 1.245763  77.269892   3.506446 76.46162
210 -3  5  1 1.442787  27.443989   4.906304 64.59623
211 -2  5  1 1.620974  47.129461   6.533234 56.79536
212 -1  5  1 1.702682  37.859868   7.375515 53.84257
213  0  5  1 1.636400   2.673396   6.687844 56.21215
214  1  5  1 1.464726  47.575865   5.089938 63.51449
215  2  5  1 1.267004  76.038375   3.632976 74.95592
216 -2  7  1 1.255245  76.727431   3.562094 75.78127
217 -1  7  1 1.266688  19.190964   3.631043 74.97786
218  0  7  1 1.216268  39.796656   3.342379 78.66770
219  0 -6  2 1.206522 133.879262   3.291320 79.42833
220  1 -6  2 1.243863  10.050262   3.495462 76.59956
221  2 -6  2 1.221819  15.037927   3.372179 78.24169
222 -2 -4  2 1.230830  16.082098   3.421628 77.56109
223 -1 -4  2 1.392950  14.509665   4.508152 67.20690
224  0 -4  2 1.516491  33.918160   5.542464 61.10873
225  1 -4  2 1.545908  14.116624   5.811214 59.82571
226  2 -4  2 1.464570 158.096635   5.088619 63.52203
227  3 -4  2 1.315180  10.893649   3.943783 71.77111
228 -3 -2  2 1.245166  12.598650   3.502988 76.50491
229 -2 -2  2 1.473867 161.231250   5.167911 63.07508
230 -1 -2  2 1.715313  13.500082   7.510768 53.41450
231  0 -2  2 1.877938  29.157065   9.367809 48.47404
232  1 -2  2 1.852489  15.149694   9.063344 49.18374
233  2 -2  2 1.658845  30.152432   6.916507 55.38563
234  3 -2  2 1.414828  14.107041   4.679609 66.03344
235 -3  0  2 1.384294  12.950663   4.441794 67.68369
